"sample","time","biol.rep","Protein","Oxidized_Peptides","Non_Oxidized_Peptides"
"MURI_16",3,"repeat 1","gi|254160553",0,14
"MURI_16",3,"repeat 1","gi|254160556",0,0
"MURI_16",3,"repeat 1","gi|254160558",0,1
"MURI_16",3,"repeat 1","gi|254160561",0,5
"MURI_16",3,"repeat 1","gi|254160562",0,1
"MURI_16",3,"repeat 1","gi|254160563",0,1
"MURI_16",3,"repeat 1","gi|254160564",0,1
"MURI_16",3,"repeat 1","gi|254160565",0,1
"MURI_16",3,"repeat 1","gi|254160571",0,1
"MURI_16",3,"repeat 1","gi|254160574",0,0
"MURI_16",3,"repeat 1","gi|254160583",0,0
"MURI_16",3,"repeat 1","gi|254160590",0,7
"MURI_16",3,"repeat 1","gi|254160591",2,10
"MURI_16",3,"repeat 1","gi|254160593",7,15
"MURI_16",3,"repeat 1","gi|254160594",0,8
"MURI_16",3,"repeat 1","gi|254160596",0,0
"MURI_16",3,"repeat 1","gi|254160597",0,0
"MURI_16",3,"repeat 1","gi|254160617",0,1
"MURI_16",3,"repeat 1","gi|254160625",0,9
"MURI_16",3,"repeat 1","gi|254160631",0,1
"MURI_16",3,"repeat 1","gi|254160635",2,21
"MURI_16",3,"repeat 1","gi|254160641",0,2
"MURI_16",3,"repeat 1","gi|254160648",0,3
"MURI_16",3,"repeat 1","gi|254160649",0,1
"MURI_16",3,"repeat 1","gi|254160650",0,3
"MURI_16",3,"repeat 1","gi|254160651",0,4
"MURI_16",3,"repeat 1","gi|254160654",0,5
"MURI_16",3,"repeat 1","gi|254160664",5,67
"MURI_16",3,"repeat 1","gi|254160665",0,0
"MURI_16",3,"repeat 1","gi|254160667",0,12
"MURI_16",3,"repeat 1","gi|254160669",0,1
"MURI_16",3,"repeat 1","gi|254160674",0,2
"MURI_16",3,"repeat 1","gi|254160675",0,5
"MURI_16",3,"repeat 1","gi|254160676",0,0
"MURI_16",3,"repeat 1","gi|254160677",0,0
"MURI_16",3,"repeat 1","gi|254160678",0,0
"MURI_16",3,"repeat 1","gi|254160680",0,0
"MURI_16",3,"repeat 1","gi|254160681",0,10
"MURI_16",3,"repeat 1","gi|254160686",0,1
"MURI_16",3,"repeat 1","gi|254160687",108,66
"MURI_16",3,"repeat 1","gi|254160688",0,14
"MURI_16",3,"repeat 1","gi|254160689",0,6
"MURI_16",3,"repeat 1","gi|254160691",0,3
"MURI_16",3,"repeat 1","gi|254160692",0,1
"MURI_16",3,"repeat 1","gi|254160694",0,1
"MURI_16",3,"repeat 1","gi|254160706",0,14
"MURI_16",3,"repeat 1","gi|254160708",0,1
"MURI_16",3,"repeat 1","gi|254160709",0,0
"MURI_16",3,"repeat 1","gi|254160710",0,21
"MURI_16",3,"repeat 1","gi|254160712",0,1
"MURI_16",3,"repeat 1","gi|254160713",3,4
"MURI_16",3,"repeat 1","gi|254160714",0,7
"MURI_16",3,"repeat 1","gi|254160715",0,4
"MURI_16",3,"repeat 1","gi|254160717",0,1
"MURI_16",3,"repeat 1","gi|254160718",0,0
"MURI_16",3,"repeat 1","gi|254160719",0,3
"MURI_16",3,"repeat 1","gi|254160722",0,2
